Date,n_estimators,max_depth,min_samples_leaf,Accuracy,F1,ROC_AUC
2026-07-25 14:46:32.320130,700,15,5,0.5285045087894432,0.4057105712139669,0.6504868916759355
2026-07-25 14:08:50.192800,500,15,10,0.52777862272452,0.4056811933150967,0.6504191568066828
2026-07-25 13:41:25.357588,500,12,5,0.5202003722067213,0.4041961763973662,0.6480513273843694
2026-07-25 13:16:06.646599,300,10,5,0.5180254792921989,0.40242397229745946,0.6453594670480747
2026-07-25 13:02:10.788083,200,8,5,0.5160648955968442,0.4005316306537139,0.6417226327189367
