Category_Type,Category,Trades,Win_Rate,Average_Return
MARKET_REGIME,Bearish,180,100.0,0.0
ML_PROBABILITY,"(10, 25]",400,82.75,-1.8
MARKET_REGIME,Bullish,360,60.0,-3.25
ML_PROBABILITY,"(25, 50]",49,51.02,-3.29
ML_PROBABILITY,"(0, 10]",91,43.96,-3.18
AI_SCORE,"(0, 30]",318,11.01,-1.16
AI_SCORE,"(30, 45]",131,2.29,-4.1
AI_SCORE,"(45, 60]",91,0.0,-2.9
