Date,Model,Accuracy,F1,Status,Precision,Recall,Training_Records,Average_Return,Win_Rate,ROC_AUC
2026-07-20 01:18:12.346656,model_v19,0.6129391860876864,0.4019291952904938,Archived,,,,,,
2026-07-21 00:09:18.276629,model_v20,0.6129391860876864,0.4019291952904938,Archived,,,,,,
2026-07-21 00:14:17.132617,model_v21,0.6129391860876864,0.4019291952904938,Archived,,,,,,
2026-07-21 23:56:46.411690,model_v22,0.9831932773109244,0.9607843137254902,Candidate,0.9245283018867924,1.0,,,,
2026-07-22 00:30:49,model_v23,0.983,0.961,Candidate,0.925,1.0,952.0,,,
2026-07-22 00:36:52,model_v24,0.983,0.961,Candidate,0.925,1.0,952.0,,,
2026-07-22 00:40:46,model_v25,0.983,0.961,Candidate,0.925,1.0,952.0,,,
2026-07-22 00:42:41,model_v26,0.983,0.961,Candidate,0.925,1.0,952.0,,,
2026-07-22 00:42:41.184756,model_v27,0.983,0.961,Champion,0.925,1.0,952.0,,,
2026-07-26 21:21:12.389010,model_v28,0.5709500050911313,0.4591371763769623,Archived,,,,,,
2026-07-26 22:51:32.111659,model_v28,0.5710467796886795,0.4658842656099172,Archived,0.3410189661584232,0.7350112215453671,3504289.0,,,
2026-07-27 01:13:07.762493,model_v29,0.5707203623232756,0.4657899413541851,Rejected,0.3408575781220971,0.7352917601795447,3504289.0,,,
2026-07-27 02:35:18.660549,model_v30,0.5710467796886795,0.4658842656099172,Rejected,0.3410189661584232,0.7350112215453671,3504289.0,1.491724409164411,0.5619834710743802,
2026-07-28 01:44:55.322296,model_v31,0.5710467796886795,0.4658842656099172,Rejected,0.3410189661584232,0.7350112215453671,3504289.0,1.491724409164411,0.5619834710743802,
2026-07-28 15:05:22.594873,model_v32,0.5514005345084358,0.4674368475865242,Rejected,0.3349182660604588,0.7734850913754409,3504289.0,0.4482073305192315,0.4666666666666667,0.6694654365812314
2026-07-28 16:05:09.714170,model_v33,0.5514005345084358,0.46743684758652426,Champion,0.3349182660604588,0.7734850913754409,3504289.0,0.4482073305192315,0.4666666666666667,0.6694654365812314
