Evaluation_Date,Model,Completed_Trades,Winning_Trades,Losing_Trades,Win_Rate,Average_Return,Best_Trade,Worst_Trade,Model_Accuracy,Model_F1
2026-08-05 22:32:59,model_v27,2720,840,1880,30.88,2.65,70.3,-9.96,98.3,96.1
2026-08-05 22:32:59,model_v33,272,84,188,30.88,2.65,70.3,-9.96,55.14,46.74
