Date,Adjusted_Close,Close,High,Low,Open,Volume
2021-07-23,128.5664520263672,133.77000427246094,134.41000366210938,131.88999938964844,134.2100067138672,182700
2021-07-26,129.02774047851562,134.25,134.6199951171875,132.22000122070312,134.39999389648438,177000
2021-07-27,131.0269012451172,136.3300018310547,137.3800048828125,133.0500030517578,133.0500030517578,283500
2021-07-28,133.70826721191406,139.1199951171875,140.10000610351562,135.9199981689453,136.8800048828125,301400
2021-07-29,132.679931640625,138.0500030517578,139.75999450683594,131.0399932861328,134.6300048828125,529400
2021-07-30,132.5742645263672,137.94000244140625,140.07000732421875,137.4499969482422,138.4600067138672,163700
2021-08-02,130.7193145751953,136.00999450683594,138.8800048828125,135.6300048828125,137.9499969482422,172400
2021-08-03,128.6625518798828,133.8699951171875,137.0500030517578,133.3699951171875,136.1300048828125,252500
2021-08-04,123.07855224609375,128.05999755859375,134.1699981689453,127.91000366210938,132.32000732421875,246000
2021-08-05,121.6849594116211,126.61000061035156,128.22000122070312,125.91999816894531,128.0,209300
2021-08-06,124.00123596191406,129.02000427246094,129.7899932861328,125.62000274658203,127.5199966430664,185100
2021-08-09,121.41585540771484,126.33000183105469,129.27000427246094,125.68000030517578,129.27000427246094,309200
2021-08-10,119.26298522949219,124.08999633789062,126.30000305175781,123.58000183105469,126.30000305175781,474400
2021-08-11,120.97376251220703,125.87000274658203,125.87999725341797,122.76000213623047,125.11000061035156,175300
2021-08-12,118.72476959228516,123.52999877929688,126.86000061035156,123.0999984741211,126.58000183105469,178500
2021-08-13,118.6670913696289,123.47000122070312,124.55999755859375,121.72000122070312,123.11000061035156,147700
2021-08-16,121.28130340576172,126.19000244140625,127.0199966430664,122.62000274658203,123.44000244140625,189600
2021-08-17,121.50236511230469,126.41999816894531,126.66000366210938,124.33999633789062,124.63999938964844,347700
2021-08-18,120.41630554199219,125.29000091552734,126.62999725341797,124.22000122070312,126.62999725341797,165100
2021-08-19,122.10784149169922,127.05000305175781,127.5199966430664,124.47000122070312,124.70999908447266,217500
2021-08-20,122.70372009277344,127.66999816894531,129.3800048828125,126.69000244140625,127.54000091552734,191300
2021-08-23,124.23188018798828,129.25999450683594,130.0,127.12999725341797,128.77999877929688,161200
2021-08-24,127.24974060058594,132.39999389648438,132.4600067138672,129.85000610351562,130.0,323500
2021-08-25,128.6240997314453,133.8300018310547,134.25999450683594,132.0500030517578,132.75999450683594,202700
2021-08-26,126.90372467041016,132.0399932861328,133.50999450683594,130.52999877929688,133.27999877929688,146500
2021-08-27,129.22000122070312,134.4499969482422,135.14999389648438,132.75,132.75,171900
2021-08-30,127.32661437988281,132.47999572753906,135.02000427246094,132.4199981689453,135.02000427246094,125300
2021-08-31,126.23094940185547,131.33999633789062,132.66000366210938,129.89999389648438,132.17999267578125,227300
2021-09-01,123.97239685058594,128.99000549316406,131.57000732421875,128.91000366210938,131.57000732421875,128500
2021-09-02,126.02914428710938,131.1300048828125,133.16000366210938,127.38999938964844,129.3699951171875,154700
2021-09-03,124.41448974609375,129.4499969482422,130.77000427246094,128.64999389648438,130.19000244140625,158300
2021-09-07,123.62640380859375,128.6300048828125,129.50999450683594,127.77999877929688,128.52000427246094,257200
2021-09-08,123.99158477783203,129.00999450683594,129.5399932861328,127.75,128.25,131600
2021-09-09,122.61724090576172,127.58000183105469,129.77999877929688,126.94999694824219,128.64999389648438,173800
2021-09-10,118.18656921386719,122.97000122070312,128.1999969482422,122.83999633789062,128.1999969482422,233800
2021-09-13,118.09044647216797,122.87000274658203,124.5,122.44999694824219,124.3499984741211,156200
2021-09-14,120.36233520507812,125.02999877929688,125.80000305175781,121.08999633789062,122.66999816894531,225600
2021-09-15,123.5295181274414,128.32000732421875,129.08999633789062,124.41999816894531,124.91999816894531,280400
2021-09-16,126.76405334472656,131.67999267578125,132.11000061035156,127.66000366210938,128.75999450683594,285600
2021-09-17,125.1756820678711,130.02999877929688,133.30999755859375,128.2100067138672,132.13999938964844,525000
2021-09-20,124.16487121582031,128.97999572753906,129.07000732421875,126.12999725341797,127.75,206700
2021-09-21,122.67274475097656,127.43000030517578,130.22999572753906,127.06999969482422,130.0,146900
2021-09-22,124.7713623046875,129.61000061035156,130.74000549316406,126.44000244140625,128.30999755859375,131100
2021-09-23,126.03244018554688,130.9199981689453,133.33999633789062,129.75,130.2899932861328,179600
2021-09-24,124.92537689208984,129.77000427246094,130.72000122070312,128.86000061035156,130.2100067138672,117600
2021-09-27,126.41753387451172,131.32000732421875,131.47000122070312,127.70999908447266,130.08999633789062,299200
2021-09-28,125.58000183105469,130.4499969482422,132.3699951171875,129.0399932861328,130.39999389648438,376600
2021-09-29,126.87960052490234,131.8000030517578,133.1199951171875,129.8000030517578,131.1199951171875,163600
2021-09-30,125.94580078125,130.8300018310547,133.57000732421875,130.19000244140625,133.07000732421875,330800
2021-10-01,128.60276794433594,133.58999633789062,134.47999572753906,128.41000366210938,131.08999633789062,210800
2021-10-04,125.01202392578125,129.86000061035156,134.07000732421875,128.72000122070312,134.07000732421875,206200
2021-10-05,125.68588256835938,130.55999755859375,133.41000366210938,130.05999755859375,130.1199951171875,121200
